2021-12-01;447
2021-12-02;284
2021-12-03;461
2021-12-04;101
2021-12-05;191
2021-12-06;182
2021-12-07;218
2021-12-08;267
2021-12-09;255
2021-12-10;397
2021-12-11;283
2021-12-12;354
2021-12-13;155
2021-12-14;152
2021-12-15;106
2021-12-16;94
2021-12-17;200
2021-12-18;7
2021-12-19;203
2021-12-20;102
2021-12-21;133
2021-12-22;68
2021-12-23;29
2021-12-24;62
2021-12-25;146
2021-12-26;147
2021-12-27;76
2021-12-28;69
2021-12-29;138
2021-12-30;255
2021-12-31;54
2022-01-01;131
2022-01-02;79
2022-01-03;75
2022-01-04;399
2022-01-05;653
2022-01-06;256
2022-01-07;199
2022-01-08;370
2022-01-09;491
2022-01-10;214
2022-01-11;303
2022-01-12;554
2022-01-13;401
2022-01-14;493
2022-01-15;686
2022-01-16;639
2022-01-17;723
2022-01-18;1341
2022-01-19;791
2022-01-20;798
2022-01-21;454
2022-01-22;454
2022-01-23;387
2022-01-24;760
2022-01-25;772
2022-01-26;1086
2022-01-27;727
2022-01-28;711
2022-01-29;591
2022-01-30;376
2022-01-31;562
2022-02-01;669
2022-02-02;757
2022-02-03;931
2022-02-04;263
2022-02-05;495
2022-02-06;715
2022-02-07;411
2022-02-08;286
2022-02-09;448
2022-02-10;664
2022-02-11;790
2022-02-12;526
2022-02-13;1059
2022-02-14;518
2022-02-15;573
2022-02-16;841
2022-02-17;1817
2022-02-18;1211
2022-02-19;338
2022-02-20;310
2022-02-21;871
2022-02-22;434
2022-02-23;859
2022-02-24;332
2022-02-25;136
2022-02-26;377
2022-02-27;359
2022-02-28;532
2022-03-01;199
2022-03-02;279
2022-03-03;199
2022-03-04;146
2022-03-05;178
2022-03-06;260
2022-03-07;84
2022-03-08;89
2022-03-09;356
2022-03-10;269
2022-03-11;417
2022-03-13;161
2022-03-14;905
2022-03-15;666
2022-03-16;383
2022-03-17;719
2022-03-18;890
2022-03-19;170
2022-03-20;415
2022-03-21;430
2022-03-22;179
2022-03-23;157
2022-03-24;595
2022-03-25;732
2022-03-26;536
2022-03-27;335
2022-03-28;660
2022-03-29;315
2022-03-30;731
2022-03-31;320
2022-04-01;481
2022-04-02;518
2022-04-03;290
2022-04-04;426
2022-04-05;586
2022-04-06;658
2022-04-07;415
2022-04-08;480
2022-04-09;309
2022-04-10;231
2022-04-11;344
2022-04-12;471
2022-04-13;617
2022-04-14;1261
2022-04-15;961
2022-04-16;346
2022-04-17;1042
2022-04-18;805
2022-04-19;694
2022-04-20;547
2022-04-21;943
2022-04-22;314
2022-04-23;780
2022-04-24;233
2022-04-25;528
2022-04-26;675
2022-04-27;575
2022-04-28;419
2022-04-29;853
2022-04-30;714
2022-05-01;419
2022-05-02;568
2022-05-03;579
2022-05-04;948
2022-05-05;434
2022-05-06;982
2022-05-07;516
2022-05-08;227
2022-05-09;897
2022-05-10;757
2022-05-11;1119
2022-05-12;969
2022-05-13;1125
2022-05-14;678
2022-05-15;583
2022-05-16;843
2022-05-17;620
2022-05-18;975
2022-05-19;576
2022-05-20;716
2022-05-21;329
2022-05-22;655
2022-05-23;752
2022-05-24;670
2022-05-25;803
2022-05-26;404
2022-05-27;590
2022-05-28;509
2022-05-29;614
2022-05-30;993
2022-05-31;1037
2022-06-01;991
2022-06-02;1054
2022-06-03;985
2022-06-04;944
2022-06-05;981
2022-06-06;951
2022-06-07;942
2022-06-08;1136
2022-06-09;829
2022-06-10;822
2022-06-11;641
2022-06-12;383
2022-06-13;781
2022-06-14;805
2022-06-15;878
2022-06-16;844
2022-06-17;365
2022-06-18;463
2022-06-19;566
2022-06-20;749
2022-06-21;1484
2022-06-22;1645
2022-06-23;2408
2022-06-24;985
2022-06-25;382
2022-06-26;348
2022-06-27;994
2022-06-28;651
2022-06-29;862
2022-06-30;966
2022-07-01;718
2022-07-02;555
2022-07-03;289
2022-07-04;1414
2022-07-05;1017
2022-07-06;683
2022-07-07;881
2022-07-08;482
2022-07-09;404
2022-07-10;510
2022-07-11;588
2022-07-12;1072
2022-07-13;1321
2022-07-14;852
2022-07-15;613
2022-07-16;377
2022-07-17;462
2022-07-18;805
2022-07-19;675
2022-07-20;1415
2022-07-21;1291
2022-07-22;746
2022-07-23;439
2022-07-24;560
2022-07-25;1083
2022-07-26;1248
2022-07-27;1209
2022-07-28;924
2022-07-29;884
2022-07-30;671
